task,condition,n,successes,success_rate,ci95_low,ci95_high,cost_median_usd,cost_min_usd,cost_max_usd,tokens_median,tool_calls_median,assistant_turns_median,wall_seconds_median,ran_check_script,read_docs_runs,skill_file_read,bash_search_runs,grep_tool_runs,tool_errors_total,transport_failures_total,tampered_runs,timeouts,infra_retried,infra_pending,failure_steps
t1_fix_pagination,agents_md_on,3,3,1.0,0.438,1.0,0.002917,0.002398,0.002993,15907,8,5,22.73,3,0,0,3,0,4,1,0,0,0,0,{}
t1_fix_pagination,agents_md_off,3,3,1.0,0.438,1.0,0.002975,0.002484,0.003015,18198,8,7,29.1,1,1,0,3,0,4,0,0,0,0,0,{}
t2_add_endpoint,agents_md_on,3,3,1.0,0.438,1.0,0.007794,0.006592,0.009321,75531,30,10,63.5,3,0,0,3,0,1,0,0,0,0,0,{}
t2_add_endpoint,agents_md_off,3,3,1.0,0.438,1.0,0.007624,0.005915,0.008982,100043,29,14,59.62,2,1,0,3,0,3,1,0,0,0,0,{}
t3_fix_check,agents_md_on,3,3,1.0,0.438,1.0,0.003512,0.003181,0.006497,35604,15,9,72.93,3,0,0,1,0,3,2,0,0,0,0,{}
t3_fix_check,agents_md_off,3,3,1.0,0.438,1.0,0.005751,0.005036,0.006216,57004,23,10,40.85,3,2,0,3,0,3,0,0,0,0,0,{}
t4_split_constant,agents_md_on,3,3,1.0,0.438,1.0,0.005385,0.00522,0.006376,38320,20,8,52.2,3,0,0,3,0,3,1,0,0,0,0,{}
t4_split_constant,agents_md_off,3,2,0.667,0.208,0.939,0.005054,0.005008,0.005928,40751,19,9,76.85,0,0,0,3,0,3,1,0,0,1,0,"{""ruff"": 1}"
t5_migration,agents_md_on,3,3,1.0,0.438,1.0,0.006712,0.005357,0.006723,68297,29,11,109.25,3,3,0,3,0,0,1,0,0,0,0,{}
t5_migration,agents_md_off,3,3,1.0,0.438,1.0,0.008833,0.006948,0.009149,72754,29,11,68.17,3,3,0,3,0,0,1,0,0,0,0,{}
